DateHourIndex,PM2.5_SPS30,PM2.5_Cerrillos
0,45.72657289002557,59.0
1,40.56571059431525,56.0
2,33.421297709923664,48.0
3,31.41959390862944,47.0
4,32.66155844155844,48.0
5,34.06601990049751,48.0
6,33.47773536895674,41.0
7,34.28858974358974,57.0
